Month,Division,GA Source,Package/Roadblock,Device,Placement Start Date,Placement End Date,Job# (s),Analytic Campaign Name,Campaign Name,Creative,Impressions,Clicks,Media Cost
2014-02,San Antonio,yahoo,1Q14 SAN Sustain - San Antonio DMA Yahoo Tablet English 300x250 FEB,mobile,2/1/2014,2/28/2014,113551,sa,Q1 Sustaining,Sustain,26571.00,98.00,1144.44
2014-02,San Antonio,zillow,1Q14 SAN Sustain - San Antonio DMA Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,113551,sa,Q1 Sustaining,113551_300x600.jpg,71819.00,226.00,574.30
2014-02,San Antonio,zillow,1Q14 SAN Sustain - San Antonio DMA Zillow Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,113551,sa,Q1 Sustaining,Sustain,38477.00,302.00,604.89
2014-02,San Antonio,moasis,Moasis SAN KB Studio HTBAH Event - SAN DMA PACKAGE,mobile,1/20/2014,2/1/2014,114915,sa_htbah,In-Studio HTBAH Event English,SAN_1x1,40.00,0.00,243.64
2014-02,San Antonio,trulia,1Q14 SAN Sustain - San Antonio DMA Trulia Display 300x600 FEB,banners,2/1/2014,2/28/2014,114915,sa_htbah,In-Studio HTBAH Event English,114915_HTBAH_300x600.jpg,4739.00,24.00,75.82
2014-02,San Antonio,trulia,1Q14 SAN Sustain - San Antonio DMA Trulia Tablet 320x50 FEB,mobile,2/1/2014,2/28/2014,114915,sa_htbah,In-Studio HTBAH Event English,114915_HTBAH_320x50.jpg,1333.00,2.00,13.33
2014-02,San Antonio,yahoo,1Q14 SAN Sustain - San Antonio DMA Yahoo Display Spanish 300x250 FEB,banners,2/1/2014,2/28/2014,115151,sa_htbah,In-Studio HTBAH Event Spanish,115151_HTBAH_300x250.jpg,11.00,0.00,0.06
2014-02,San Antonio,yahoo,1Q14 SAN Sustain - San Antonio DMA Yahoo Display English 300x250 FEB,banners,2/1/2014,2/28/2014,114915,sa_htbah,In-Studio HTBAH Event English,114915_HTBAH_300x250.jpg,567.00,0.00,2.90
2014-02,San Antonio,zillow,1Q14 SAN Sustain - San Antonio DMA Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,114915,sa_htbah,In-Studio HTBAH Event English,114915_HTBAH_300x600.jpg,6740.00,23.00,53.92
2014-02,Central California,zillow,1Q14 Zillow Display 300x600 Package FEB,banners,2/1/2014,2/28/2014,113589,sac,Q1 Sustaining,113589_300x600.swf,139867.00,286.00,1118.64
2014-02,Central California,zillow,1Q14 Zillow Display 300x600 Package FEB,banners,2/1/2014,2/28/2014,113830,sac,Q1 Sustaining - Reno,113830_300x600.jpg,139909.00,325.00,1118.97
2014-02,Central California,zillow,1Q14 Zillow Display 300x600 Package FEB,banners,2/1/2014,2/28/2014,113829,sac,Q1 Sustaining - Fresno (Madera),113829_300x600.jpg,139913.00,205.00,1119.01
2014-02,Central California,zillow,1Q14 Zillow Display 300x600 Package FEB,banners,2/1/2014,2/28/2014,113827,sac,Q1 Sustaining - Roseville,113827_300x600.jpg,139993.00,292.00,1119.59
2014-02,Central California,zillow,1Q14 Zillow Tablet Package FEB,mobile,2/1/2014,2/28/2014,113827,sac,Q1 Sustaining - Roseville,SAC 1x1,4043.00,51.00,222.95
2014-02,Central California,zillow,1Q14 Zillow Mobile 320x50 Package FEB,mobile,2/1/2014,2/28/2014,113830,sac,Q1 Sustaining - Reno,SAC 1x1,12596.00,93.00,220.59
2014-02,Central California,zillow,1Q14 Zillow Mobile 320x50 Package FEB,mobile,2/1/2014,2/28/2014,113829,sac,Q1 Sustaining - Fresno (Madera),SAC 1x1,12645.00,94.00,221.42
2014-02,Central California,zillow,1Q14 Zillow Mobile 320x50 Package FEB,mobile,2/1/2014,2/28/2014,113589,sac,Q1 Sustaining,SAC 1x1,13048.00,118.00,226.05
2014-02,Jacksonville,zillow,1Q14 JAX Sustain West Palm Beach Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,113634,sefl,Q1 Sustaining,113634_300x600.swf,85493.00,280.00,683.69
2014-02,Orlando,add,AddThis Shingle Creek GO Orlando DMA PACKAGE,banners,2/10/2014,2/22/2014,115591,shingle_go,Shingle Creek,115591_ORL_160x600.jpg,151485.00,178.00,2000.00
2014-02,Orlando,mobileT,MobileTheory Shingle Creek GO Orlando DMA PACKAGE,mobile,2/10/2014,2/22/2014,115591,shingle_go,Shingle Creek,ORL_1x1,27053.00,199.00,1999.99
2014-02,Orlando,add,AddThis Silverleaf GO Orlando DMA PACKAGE,banners,1/20/2014,2/2/2014,114923,silverleaf_go,Silverleaf Grand Opening,114923_160x600.jpg,5975.00,13.00,46.28
2014-02,SoCal Coastal,trulia,1Q14_SCL Sustain Coastal_Trulia_ San Diego_Display_300x600_FEB,banners,2/1/2014,2/28/2014,113176,sm,Q1 Sustaining - San Marcos (Updated),SanMarcos_300x600.swf,275102.00,1663.00,4000.00
2014-02,SoCal Coastal,zillow,1Q14_SCL Sustain Coastal_Zillow_SanDiego_Display_300x600_FEB,banners,2/1/2014,2/28/2014,113176,sm,Q1 Sustaining - San Marcos (Updated),SanMarcos_300x600.swf,243436.00,446.00,1946.66
2014-02,SoCal Coastal,zillow,1Q14_SCL Sustain Coastal_Zillow_SanDiego_Tablet_704x70_FEB,mobile,2/1/2014,2/28/2014,110240,sm,Q1 Sustaining - San Marcos,SCL_1x1,30007.00,272.00,360.08
2014-02,SoCal Coastal,yahoo,"1Q14 SCL Yahoo Display Sustain LA, SD, Palm Springs FEB",banners,2/1/2014,2/28/2014,110052,socal,Q1 Yahoo Sustaining,300x250_SoCal_LACounty.swf,1500697.00,4311.00,7684.61
2014-02,Tampa,linked,"1Q14 TAM LinkedIn Military, Medical",banners,12/1/2013,2/28/2014,113657,tam,Q1 Sustaining Linked In - Military Medical,113657_300x250.jpg,16258.00,16.00,315.41
2014-02,Tampa,linked,1Q14 TAM LinkedIn Real Estate,banners,12/1/2013,2/28/2014,114361,tam,Q1 Sustaining Linked In- Real Estate,114361_1220_300x250.jpg,17374.00,20.00,316.21
2014-02,Tampa,trulia,1Q14 TAM Sustain - TAMPA DMA Trulia Display 300x600 FEB,banners,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,113635_300x600.swf,162688.00,2084.00,2365.44
2014-02,Tampa,trulia,1Q14 TAM Sustain - TAMPA DMA Trulia Tablet 320x50 FEB,mobile,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,113635_320x50.jpg,19361.00,32.00,816.00
2014-02,Tampa,yahoo,1Q14 TAM Sustain - Tampa DMA Yahoo Display 160x600 FEB,banners,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,113635_160x600.swf,125457.00,320.00,511.86
2014-02,Tampa,yahoo,1Q14 TAM Sustain - Tampa DMA Yahoo Tablet 300x250 FEB,mobile,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,TAM_1x1,51067.00,209.00,255.25
2014-02,Tampa,yahoo,1Q14 TAM Sustain - Tampa DMA Yahoo Mobile 300x50 FEB,mobile,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,TAM_1x1,159005.00,642.00,793.00
2014-02,Tampa,zillow,1Q14 TAM Sustain - TAMPA DMA Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,113635_300x600.swf,414144.00,885.00,3312.00
2014-02,Tampa,zillow,1Q14 TAM Sustain - TAMPA DMA Zillow Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,113635,tam,Q1 Sustaining,TAM_1x1,88469.00,700.00,1538.45
2014-02,Phoenix,add,AddThis Desert Passage & Trailside Point Phoenix DMA 2/17-3/2 PACKAGE,banners,2/17/2014,3/2/2014,115250,trailside_go,Trailside Grand Openings,115250_PHX_160x600.jpg,111185.00,77.00,1421.44
2014-02,Phoenix,zillow,1Q14 PTN Sustain - Phoenix DMA - Zillow Mobile 320x50 FEB,mobile,2/1/2014,3/2/2014,113845,tuc,Q1 Sustaining,PTN_1x1_2,27448.00,197.00,425.82
2014-02,Denver,add,AddThis Meridian Village Paired Homes Douglas County 1/27-2/16 PACKAGE,banners,1/27/2014,2/16/2014,115079,villas,Underperforming Community: Meridian Village Paired Homes (The Villas),115079_160x600.swf,85578.00,22.00,1207.47
2014-02,Denver,mobileT,Mobile Theory Meridian Village Douglas County 1/27-2/16 PACKAGE,mobile,1/27/2014,2/16/2014,115079,villas,Underperforming Community: Meridian Village Paired Homes (The Villas),COL_1x1,50188.00,153.00,1081.14
2014-02,Austin,add,AddThis Retreat at Willow Creek GO Austin DMA 2/24-3/2 PACKAGE,banners,2/24/2014,3/2/2014,115519,wcreek_go,Retreat at Willow Creek Grand Opening,115519_AUS_160x600.jpg,47036.00,88.00,613.07
2014-02,Austin,millennial,Millennial Retreat at Willow Creek GO Spanish Lang Austin DMA PACKAGE,mobile,2/24/2014,3/2/2014,115527,wcreek_go,Retreat at Willow Creek Grand Opening,AUS_1x1,26878.00,102.00,363.75
2014-02,Austin,mobileT,Mobile Theory Retreat at Willow Creek GO Austin DMA 2/24-3/2 PACKAGE,mobile,2/24/2014,3/2/2014,115519,wcreek_go,Retreat at Willow Creek Grand Opening,AUS_1x1,31047.00,144.00,750.00
2014-02,Denver,add,AddThis Westwood Mesa GO Adams & Jefferson County 2/17-3/9 PACKAGE,banners,2/17/2014,3/9/2014,115776,westwood_go,Westwoods Mesa Grand Opening,115776_CO_160x600.jpg,55806.00,44.00,800.66
2014-02,Denver,mobileT,Mobile Theory Westwoods Mesa GO Adams & Jefferson County 2/17-3/9 PACKAGE,mobile,2/17/2014,3/9/2014,115776,westwood_go,Westwoods Mesa Grand Opening,COL_1x1,135560.00,1077.00,896.22
2014-02,Central California,add,AddThis Aria & Legato Sacramento DMA 1/27-2/9 PACKAGE,banners,1/27/2014,2/9/2014,113738,,Sierra Vista,113738_160x600.jpg,16.00,0.00,0.39
2014-02,Denver,add,AddThis Meridian Village Paired Homes Douglas County 1/27-2/16 PACKAGE,banners,1/27/2014,2/16/2014,113732,,Lyons Ridge GO,113732_1125-GO_160x600.jpg,26.00,0.00,1.00
2014-02,Denver,add,AddThis Parkside Villas Denver DMA 2/3-2/23 PACKAGE,banners,2/3/2014,2/23/2014,113732,,Lyons Ridge GO,113732_1125-GO_160x600.jpg,17.00,0.00,0.20
2014-02,Orlando,add,"AddThis New Home, New Year Orlando DMA PACKAGE",banners,1/13/2014,2/2/2014,113755,,Gramercy Farms GO,113755_160x600.jpg,39.00,0.00,445.75
2014-02,San Antonio,add,AddThis SAN Feb Sales Event - SAN DMA 2/12-2/23 PACKAGE,banners,2/12/2014,2/23/2014,113953,,La Fontana,113953_728x90.jpg,19291.00,35.00,0.32
2014-02,SoCal Coastal,add,AddThis Ridgeview at Echo Ridge Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110071,,Dorado Skies Sustain,110071_0605-WB_300x250.jpg,231.00,0.00,0.57
2014-02,SoCal Coastal,add,AddThis Rancho Santalina Haciendas Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110071,,Dorado Skies Sustain,110071_0605-WB_300x250.jpg,313.00,1.00,0.78
2014-02,SoCal Coastal,add,AddThis Ridgeview at Echo Ridge Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110264,,Copper Moon,110264_GO_728x90.jpg,469.00,8.00,1.17
2014-02,SoCal Coastal,add,AddThis Rancho Santalina Haciendas Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110264,,Copper Moon,110264_GO_728x90.jpg,706.00,7.00,1.76
2014-02,SoCal Coastal,add,AddThis Antelope Valley Sustaining Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110071,,Dorado Skies Sustain,110071_0605-WB_160x600.jpg,21006.00,37.00,313.35
2014-02,SoCal Coastal,add,AddThis Antelope Valley Sustaining Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110264,,Copper Moon,110264_GO_300x250.jpg,42350.00,59.00,312.03
2014-02,SoCal Coastal,add,AddThis Ridgeview at Echo Ridge Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,113972,,Ridgeview at Echo Ridge,113972_160x600.swf,44323.00,37.00,748.10
2014-02,SoCal Coastal,add,AddThis Rancho Santalina Haciendas Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,114885,,Rancho Santalina Haciendas,114885_160x600.swf,59342.00,71.00,997.24
2014-02,SoCal Coastal,add,AddThis Canton Hills Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,114272,,Canton Hills,114272_160x600.jpg,75111.00,120.00,1250.00
2014-02,SoCal Coastal,add,AddThis La Mesa Meadows Sustain Zip Targeting Display 2/1-1/28 PACKAGE,banners,2/1/2014,2/28/2014,114276,,La Mesa Meadows,114276_160x600.jpg,81870.00,180.00,1249.99
2014-02,SoCal Coastal,add,AddThis Monte Vista GO Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,113970,,Monte Vista,113970_160x600.jpg,99979.00,230.00,1499.99
2014-02,SoCal Inland,add,AddThis SCL Inland - The Enclave - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,114438,,Pinnacle,114438_160x600.jpg,28.00,0.00,1.47
2014-02,SoCal Inland,add,AddThis SCL Inland - Saratoga Sustain - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110277,,Saratoga Sustain,110277_WB_160x600.jpg,60119.00,136.00,750.00
2014-02,SoCal Inland,add,AddThis SCL Inland -  Las Playas - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110023,,Las Playas Sustain,110023_0605-WB_160x600.jpg,80075.00,148.00,1000.00
2014-02,SoCal Inland,add,AddThis SCL Inland - Parkside Sustain - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,111556,,Parkside,111556_160x600.jpg,118558.00,206.00,1500.00
2014-02,SoCal Inland,add,AddThis SCL Inland - The Enclave - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,114273,,The Enclave,114273_160x600.swf,115865.00,43.00,285.33
2014-02,SoCal Inland,add,AddThis SCL Inland - The Preserve Sustain - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,113999,,Preserve,113999_Schools5_160x600.jpg,116850.00,144.00,1499.99
2014-02,SoCal Inland,add,AddThis SCL Inland - The Pinnacle Sustain - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,113968,,Pinnacle,113968_160x600.jpg,120634.00,213.00,1500.01
2014-02,SoCal Inland,add,AddThis SCL Inland - Monument Park Sustain - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,111679,,Monument Park,111679_160x600.jpg,125603.00,286.00,1500.01
2014-02,SoCal Inland,add,AddThis SCL Inland - The Enclave - LA Zip DMA 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,114273,,The Enclave,114273_300x250.swf,206874.00,166.00,1212.90
2014-02,SoCal Coastal,centro,Centro Rancho Santalina Haciendas Sustain UTSD Homepage 2/1-2/28 300x250,banners,2/1/2014,2/28/2014,114885,,Rancho Santalina Haciendas,114885_300x250.jpg,77469.00,38.00,750.00
2014-02,SoCal Coastal,LAT/Latimes,LA Times Dawn Creek GO Zip Target 1/13-2/9 PACKAGE,banners,1/13/2014,2/9/2014,110071,,Dorado Skies Sustain,110071_0605-WB_300x250.jpg,3.00,0.00,0.03
2014-02,SoCal Coastal,LAT/Latimes,LA Times Dawn Creek GO Zip Target 1/13-2/9 PACKAGE,banners,1/13/2014,2/9/2014,110264,,Copper Moon,110264_GO_728x90.jpg,7.00,0.00,0.07
2014-02,SoCal Coastal,LAT/Latimes,LA Times Antelope Valley Sustain Zip Target 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110071,,Dorado Skies Sustain,110071_0605-WB_300x250.jpg,201.00,0.00,2.01
2014-02,SoCal Coastal,LAT/Latimes,LA Times Antelope Valley Sustain Zip Target 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110072,,Dorado Skies Sustain,110072_0605-WB_300x250.jpg,18545.00,14.00,373.00
2014-02,SoCal Coastal,LAT/Latimes,LA Times Antelope Valley Sustain Zip Target 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,110264,,Copper Moon,110264_GO_300x250.jpg,18875.00,18.00,377.93
